,Message ID,timestamp,content,reactions,share,photos,videos,call_duration,audio_files
0,9,2025-01-01 12:21:47,1,,,,,,
1,35,2025-01-01 12:32:31,"ros not only improved my score, he helped me eat more fruit in one night than conor eats in a year","[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735734822}]",,,,,
2,37,2025-01-01 12:34:59,just totally ruin your insides,,,,,,
3,40,2025-01-01 12:37:23,coffee and guinness are best PEDs,"[{'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735735054}]",,,,,
4,42,2025-01-01 12:37:55,so just take your guinness with an espresso,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735735139}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735735081}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735735091}]",,,,,
5,52,2025-01-01 13:34:47,2,,,,,,
6,69,2025-01-01 14:54:21,3,,,,,,
7,71,2025-01-01 14:54:49,My brother and I went for lunch,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735743677}]",,,,,
8,73,2025-01-01 14:55:00,It was a mcspicy meal,,,,,,
9,74,2025-01-01 14:55:03,And then a coffee,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743306}]",,,,,
10,75,2025-01-01 14:55:19,I'd be worried if I didn't shit after,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735743373}]",,,,,
11,76,2025-01-01 14:56:33,Also you guys made me eat 6 oranges yesterday,,,,,,
12,77,2025-01-01 14:56:43,I'm really not surprised,,,,,,
13,84,2025-01-01 15:05:48,It isn't a contest,,,,,,
14,91,2025-01-01 15:10:46,jamieoliveoil reacted â¤ï¸ to your message ,,,,,,
15,98,2025-01-01 15:36:45,who shit in his cornflakes,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1735745819}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735748856}, {'reaction': 'ð\x9f\x98\x82', 'actor': 'Katie Long', 'timestamp': 1735745812}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735745811}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735746127}]",,,,,
16,119,2025-01-01 16:59:20,the way i yelped,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735751225}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735755928}, {'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1735751685}]",,,,,
17,121,2025-01-01 17:00:02,i was in the middle of watching something and because i have instagram loaded up on my laptop it jump scared me,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735750815}]",,,,,
18,123,2025-01-01 17:01:01,"i was listening to french people say ""moo"" before this",,,,,,
19,124,2025-01-01 17:01:09,you always make my heart beat fast georgia,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}]",,,,,
