,Message ID,timestamp,content,reactions,share,photos,audio_files,call_duration,videos
0,12,2025-01-01 12:22:44,1,,,,,,
1,72,2025-01-01 14:54:54,Bros not letting his crown fall,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735743338}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735743678}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743299}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735743361}]",,,,,
2,87,2025-01-01 15:08:59,You've grossly misjudged the point of all this,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735744198}, {'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1735744820}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735744144}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735744368}]",,,,,
3,89,2025-01-01 15:09:27,conor_mcmenamin liked a message,,,,,,
4,100,2025-01-01 15:37:08,And did they update the chat?,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Conan', 'timestamp': 1735746011}, {'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1735745959}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735746131}]",,,,,
5,101,2025-01-01 16:14:01,https://vm.tiktok.com/ZGdknvBr6/,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735748514}, {'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735754784}]","{'link': 'https://vm.tiktok.com/ZGdknvBr6/', 'share_text': 'https://vm.tiktok.com/ZGdknvBr6/'}",,,,
6,134,2025-01-01 21:32:49,2,,,,,,
7,135,2025-01-01 21:32:58,"One a day average, new year new me","[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735768354}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735767959}]",,,,,
8,145,2025-01-01 23:06:29,"He lives on coffee and fibre, he is doping",,,,,,
9,199,2025-01-02 12:37:24,"Read this to the tune of ""big girls don't cry""","[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735821493}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827604}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735821981}]",,,,,
10,227,2025-01-02 14:21:18,Need this in a hope core tiktok,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827750}]",,,,,
11,230,2025-01-02 14:22:21,Dw people forget constantly,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827747}]",,,,,
12,235,2025-01-02 14:24:52,Doctors hate this one life hack,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735827897}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827918}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735827937}]",,,,,
13,242,2025-01-02 14:27:34,"And we're 3 years deep, there's nothing that we haven't already said, we are literally in this shit together","[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735828067}]",,,,,
14,273,2025-01-02 17:42:45,Welcome to my world when i only shit every 5 days lmao,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735840808}, {'reaction': 'ð\x9f\x98®', 'actor': 'Dan Griffin', 'timestamp': 1735842435}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735840923}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Katie Long', 'timestamp': 1735839915}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Dex', 'timestamp': 1735842030}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735840046}]",,,,,
15,282,2025-01-02 18:56:48,conor_mcmenamin liked a message,,,,,,
16,283,2025-01-02 18:57:10,"I don't know what scares me more, photos or voice notes","[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735844979}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735850070}, {'reaction': 'â\x9d¤', 'actor': 'Keelin H.', 'timestamp': 1735891730}]",,,,,
17,461,2025-01-04 00:36:27,3,,,,,,
18,462,2025-01-04 00:36:37,Satisfying plop,,,,,,
19,466,2025-01-04 00:39:13,I'm not shitting in my bed,,,,,,
20,496,2025-01-04 19:01:20,Bestie what the fuck?,,,,,,
21,498,2025-01-04 19:16:18,You dude ð­,,,,,,
22,499,2025-01-04 19:16:33,You're averaging 2 a day,,,,,,
23,503,2025-01-04 19:17:54,Yeah but he's just a freak,,,,,,
24,506,2025-01-04 19:18:28,Fair lmao,,,,,,
25,513,2025-01-05 00:22:01,4,,,,,,
26,542,2025-01-05 19:47:52,I like that all the names are in beautiful alphabetically order and then there's Eoin,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736111792}]",,,,,
27,544,2025-01-05 19:48:47,Ahhhh his wierd ass letters right,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736111799}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736106542}]",,,,,
28,547,2025-01-05 19:49:25,I think it's taking the name instead of the @,,,,,,
29,576,2025-01-06 12:13:19,You'll clog a hole in the ground,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Dex', 'timestamp': 1736165604}]",,,,,
30,579,2025-01-06 12:14:22,Does conan have your phone?,,,,,,
31,583,2025-01-06 12:19:55,"I'm either not voted for at all, or unanimously the favourite hahah","[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736169597}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736171681}]",,,,,
32,594,2025-01-06 12:32:25,conor_mcmenamin liked a message,,,,,,
33,601,2025-01-06 12:41:25,That reason being it's funny and all the cool kids are doing it,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1736168169}]",,,,,
34,637,2025-01-06 13:28:26,Conor sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Harry Rooney', 'timestamp': 1736170248}]","{'link': 'https://www.instagram.com/p/DEdfcUjv0e4/', 'share_text': '', 'original_content_owner': 'howitfeelstochewfivegum'}",,,,
35,642,2025-01-06 14:04:08,conor_mcmenamin set the nickname for Sean Condren Kuipers to The Sharterâ¢.,,,,,,
36,701,2025-01-07 15:33:29,"The rule depends on whether or not you got up off the toilet, if not, it's the same poop. If you got up, and then went back, it's 2",,,,,,
37,706,2025-01-07 15:36:07,"Yeah that's what I was trying to say, if you left and came back",,,,,,
38,744,2025-01-07 20:56:01,Conor sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Sean Condren Kuipers', 'timestamp': 1736284841}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736284016}, {'reaction': 'ð\x9f«¦', 'actor': 'Emma Smyth', 'timestamp': 1736284612}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736284125}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736283737}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736285009}, {'reaction': 'â\x9d¤', 'actor': 'Sage', 'timestamp': 1736284387}]","{'link': 'https://www.instagram.com/p/DEfqywfSzKm/', 'share_text': 'Send this to considered (cred @geebminister )', 'original_content_owner': 'shitpostgod'}",,,,
39,748,2025-01-07 23:04:26,5,,,,,,
40,749,2025-01-07 23:04:38,"It's not one a day, but it's still an okay ratio","[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1736293924}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736292686}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736292932}]",,,,,
41,771,2025-01-08 10:47:43,,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736333497}, {'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1736341105}]",,"[{'uri': 'your_instagram_activity/messages/inbox/2025poopchat_8986527554771415/photos/470051906_891865836150139_6668325438829807969_n_616542197579203.jpg', 'creation_timestamp': 1736333261, 'backup_uri': 'https://scontent-dub4-1.xx.fbcdn.net/v/t1.15752-9/470051906_891865836150139_6668325438829807969_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=9f807c&_nc_ohc=NTnT_MpS7g0Q7kNvgEksQac&_nc_zt=23&_nc_ht=scontent-dub4-1.xx&oh=03_Q7cD1gGhWSkcoQt-iPGGKSiDkNfQLgCzzrTBanmN2iuEdtrlJw&oe=67C18EF7'}]",,,
42,772,2025-01-08 10:48:02,"Don't have a caption for this yet, but I'm sure one will come to me","[{'reaction': 'â\x9d¤', 'actor': 'Teenage dirtbag ð\x9f¤ª', 'timestamp': 1736334176}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736333481}]",,,,,
43,820,2025-01-08 19:55:46,Gross,,,,,,
44,834,2025-01-09 00:36:35,6,,,,,,
45,835,2025-01-09 00:36:39,Slightly forced,,,,,,
46,837,2025-01-09 00:37:26,"Home is where the shart is, or however the saying goes","[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736407479}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1736413347}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1736391804}]",,,,,
47,862,2025-01-09 14:25:41,We've not spent enough time and effort to actively try and break his code tbh,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736436044}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1736432748}]",,,,,
48,863,2025-01-09 14:26:16,"Even if we just type out the number instead, surely that fucks it",,,,,,
49,866,2025-01-09 14:30:08,"Probably not, but it's still more effort, even ifits just tedious, and that's funny",,,,,,
50,896,2025-01-09 21:14:17,7,,,,,,
51,897,2025-01-09 21:14:50,My numbers are so regular I'm wondering if my constipation the past two years has been entirely mental,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736458560}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736462638}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736457299}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736457310}]",,,,,
52,899,2025-01-09 21:17:23,You should be honestly,,,,,,
53,927,2025-01-10 11:50:47,Do better scrub,,,,,,
54,933,2025-01-10 13:09:07,And yet you're still behind me,,,,,,
55,959,2025-01-10 16:59:45,"So concerned that there's still not been an update from this, Emma is fighting for her life in there","[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736528712}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1736530265}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736531860}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1736528527}]",,,,,
56,1012,2025-01-10 23:32:05,Bet Sean is still in the call and doesn't know,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1736551931}]",,,,,
57,1014,2025-01-10 23:32:28,But I'm not joining to find out,,,,,,
58,1021,2025-01-10 23:33:18,Oh is insta being fucky wucky,,,,,,
59,1023,2025-01-10 23:33:44,Same I'm scared,,,,,,
60,1028,2025-01-10 23:34:13,Isn't this thr plot of unfriended,,,,,,
61,1030,2025-01-10 23:34:32,"""Okay everyone hands up, who's shitting rn""",,,,,,
62,1035,2025-01-10 23:35:16,"I joined, and should not have been surprised",,,,,,
63,1043,2025-01-10 23:49:52,How is it STILL GOING,,,,,,
64,1078,2025-01-11 10:43:35,Every poop is no wipe if you're not a pussy,"[{'reaction': 'ð\x9f¤¨', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736592360}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736592229}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736592231}]",,,,,
65,1104,2025-01-11 23:34:22,8,,,,,,
66,1105,2025-01-11 23:34:31,"But enough about me, Sean what the fuck?","[{'reaction': 'â\x9d¤', 'actor': 'Sean Condren Kuipers', 'timestamp': 1736638829}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736638874}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736638517}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736639005}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736638476}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736638478}]",,,,,
67,1107,2025-01-11 23:34:58,Only explination,,,,,,
68,1109,2025-01-11 23:36:37,conor_mcmenamin liked a message,,,,,,
69,1133,2025-01-12 14:32:09,Oh that's great timing,,,,,,
70,1134,2025-01-12 14:46:12,9,,,,,,
71,1135,2025-01-12 14:46:15,Pure liquid,,,,,,
72,1171,2025-01-12 16:54:59,conor_mcmenamin liked a message,,,,,,
73,1174,2025-01-12 17:10:30,10,,,,,,
74,1175,2025-01-12 17:10:40,Not a day to be trusting farts,"[{'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1736703429}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736702036}]",,,,,
75,1177,2025-01-12 17:13:26,"Nearly, was a close call","[{'reaction': 'ð\x9f\x98¢', 'actor': 'Dan Griffin', 'timestamp': 1736702323}]",,,,,
76,1181,2025-01-12 17:22:55,Bro how have you caught up an over taken me???,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736702579}]",,,,,
77,1191,2025-01-12 20:56:53,Dude what is happening?,,,,,,
78,1193,2025-01-12 21:14:26,11,,,,,,
79,1194,2025-01-12 21:14:32,Not letting soumia get away,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736716718}]",,,,,
