,Message ID,timestamp,content,reactions,share,photos,videos,call_duration
0,43,2025-01-01 12:38:52,dan_griffin6 liked a message,,,,,
1,58,2025-01-01 13:44:35,Dan sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735743269}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735739171}]","{'link': 'https://www.instagram.com/reel/DELdjCTyyXR/?id=3534048283612358097_69457979312', 'share_text': 'ð\x9f\x90´â\x9d¤ï¸\x8f', 'original_content_owner': 'mcfreakery'}",,,
2,60,2025-01-01 13:52:33,Dan sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735743266}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735743663}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735740603}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735739561}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735742536}]","{'link': 'https://www.instagram.com/p/DERCZeSsiyC/', 'share_text': '', 'original_content_owner': 'mcfreakery'}",,,
3,154,2025-01-01 23:12:32,Dan sent an attachment.,,"{'link': 'https://www.instagram.com/reel/DERrpv9IvXs/?id=3535799167452640748_10749935012', 'share_text': 'It really feels like yesterday, doesnâ\x80\x99t it?ð\x9f\x9a\x99ð\x9f\x92¨\n\n#car #cars #carsoftiktok #cartok #carsofinstagram #carsofinsta #carsofig #fy #fyp #meme #memes #vines #trend #trending #viral #carmemes #viralvideos #carguy #cargirl', 'original_content_owner': 'the.manlyman_'}",,,
4,171,2025-01-02 11:19:34,Me too brother ð,,,,,
5,175,2025-01-02 11:43:57,"Real girls don't poo, they shit","[{'reaction': 'ð\x9f«¦', 'actor': 'Emma Smyth', 'timestamp': 1735827543}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735819473}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735819594}]",,,,
6,258,2025-01-02 15:24:14,New year,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735838171}, {'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1735831686}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735831741}]",,,,
7,261,2025-01-02 15:37:38,It was tiny as well,,,,,
8,262,2025-01-02 15:37:44,Stop mogging me,,,,,
9,268,2025-01-02 16:23:55,Calm down bro ð­,,,,,
10,269,2025-01-02 16:23:59,Let me catch up,,,,,
11,288,2025-01-02 19:11:25,dan_griffin6 liked a message,,,,,
12,354,2025-01-03 14:06:17,2,,,,,
13,458,2025-01-03 22:59:19,Steo,,,,,
14,459,2025-01-03 22:59:23,NIAMH,,,,,
15,471,2025-01-04 01:21:02,Nimm and steo,,,,,
16,477,2025-01-04 13:02:56,3,,,,,
17,507,2025-01-04 19:20:03,3,,,,,
18,517,2025-01-05 10:58:37,When I got less shits than this mf I know somethings wrong with me,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1736074740}]",,,,
19,538,2025-01-05 18:50:50,4,,,,,
20,540,2025-01-05 19:45:11,,,,"[{'uri': 'your_instagram_activity/messages/inbox/2025poopchat_8986527554771415/photos/467477928_903663771853539_6043372316354323058_n_602877309001208.jpg', 'creation_timestamp': 1736106310, 'backup_uri': 'https://scontent-dub4-1.xx.fbcdn.net/v/t1.15752-9/467477928_903663771853539_6043372316354323058_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=9f807c&_nc_ohc=AyYS3kVBzjIQ7kNvgHsA7qb&_nc_zt=23&_nc_ht=scontent-dub4-1.xx&oh=03_Q7cD1gFsw_N2fe9o-wQ3zHte0msQdnZFgoG28rlwLNP4M9zLUA&oe=67AB5893'}]",,
21,572,2025-01-06 11:43:13,5,,,,,
22,581,2025-01-06 12:18:47,dan_griffin6 liked a message,,,,,
23,582,2025-01-06 12:19:18,I see conan and conor are favourites for most categories you're both so loved,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736169593}, {'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1736165974}]",,,,
24,587,2025-01-06 12:21:34,Gonna screencap this and hope it's funny in 3 months,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1736169613}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736166559}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736166256}]",,,,
25,589,2025-01-06 12:28:34,You're a stupid word >:(,"[{'reaction': 'ð\x9f\x98¡', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1736166539}]",,,,
26,595,2025-01-06 12:33:20,dan_griffin6 liked a message,,,,,
27,596,2025-01-06 12:33:26,dan_griffin6 reacted ð® to your message ,,,,,
28,605,2025-01-06 12:52:11,...crazy?,,,,,
29,607,2025-01-06 12:52:25,They locked me in a room,,,,,
30,609,2025-01-06 12:52:32,A rubber room with rats,,,,,
31,610,2025-01-06 12:52:36,You fucked up,,,,,
32,611,2025-01-06 12:52:43,Crazy ahh,,,,,
33,614,2025-01-06 12:53:02,No its a rubber room with rats,,,,,
