,Poop,IDs,user,timestamp,content,reactions,audio_files,gifs
0,1,4,Harry,2025-01-01 12:20:42,Iâm on 1,,,
1,1,9,Conan,2025-01-01 12:21:47,1,,,
2,1,12,Conor,2025-01-01 12:22:44,1,,,
3,1,14,Ruby,2025-01-01 12:23:06,1,,,
4,1,17,Shane,2025-01-01 12:25:22,1,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735734331}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735734336}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735734328}]",,
5,1,49,Katie,2025-01-01 12:45:24,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735735567}]",,
6,2,52,Conan,2025-01-01 13:34:47,2,,,
7,1,54,Clay,2025-01-01 13:39:49,1,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Dan Griffin', 'timestamp': 1735738883}]",,
8,1,55,Stephen,2025-01-01 13:43:18,1,,,
9,2,56,Stephen,2025-01-01 13:43:21,2,,,
10,1,63,Sean,2025-01-01 14:18:56,1,,,
11,1,64,Ros,2025-01-01 14:28:52,1,,,
12,3,69,Conan,2025-01-01 14:54:21,3,,,
13,1,80,Soumia,2025-01-01 15:01:26,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743700}]",,
14,1,81,Niamh,2025-01-01 15:01:33,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743701}]",,
15,1,93,Dex,2025-01-01 15:25:21,1 - feels weird starting over,,,
16,2,102,Clay,2025-01-01 16:26:39,2,,,
17,1,104,Suzanne,2025-01-01 16:33:18,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735749203}]",,
18,3,105,Stephen,2025-01-01 16:35:16,3,,,
19,2,106,Shane,2025-01-01 16:43:47,2,,,
20,2,126,Niamh,2025-01-01 17:30:39,2,,,
21,1,128,Eoin,2025-01-01 18:54:12,1,,,
22,2,132,Ros,2025-01-01 19:28:19,2,,,
23,2,134,Conor,2025-01-01 21:32:49,2,,,
24,4,141,Conan,2025-01-01 23:02:04,4,"[{'reaction': 'ð\x9f\x98©', 'actor': 'shane', 'timestamp': 1735772715}]",,
25,3,155,Niamh,2025-01-01 23:51:39,3,,,
26,2,158,Eoin,2025-01-02 08:45:18,2,,,
27,3,160,Clay,2025-01-02 09:33:07,3,,,
28,4,161,Clay,2025-01-02 10:26:04,4,,,
29,3,166,Ros,2025-01-02 10:56:36,3,,,
30,2,174,Suzanne,2025-01-02 11:24:59,2,"[{'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735817127}]",,
31,3,176,Shane,2025-01-02 12:06:36,3,,,
32,1,187,Keelin,2025-01-02 12:22:32,1 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735820580}]",,
33,2,188,Dex,2025-01-02 12:25:29,2,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1735821417}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735820850}]",,
34,2,209,Ruby,2025-01-02 12:55:44,2 âð»,,,
35,2,210,Harry,2025-01-02 13:05:17,2,,,
36,5,211,Clay,2025-01-02 13:37:44,5,,,
37,4,212,Niamh,2025-01-02 13:39:10,4,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735876002}]",,
38,2,213,Sean,2025-01-02 13:41:09,2,,,
39,3,223,Dex,2025-01-02 14:01:24,3,,,
40,2,229,Emma Smyth,2025-01-02 14:22:04,2 ð©,,,
41,6,237,Conan,2025-01-02 14:26:21,"If you wanna up your score here's a good meal plan 

Breakfast: espresso and red bull
Lunch: mcdonald's mcspicy meal 
Dinner: 5 guinnesses, heck maybe even 6 guinnesses","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827985}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735828112}]",,
42,5,237,Conan,2025-01-02 14:26:21,"If you wanna up your score here's a good meal plan 

Breakfast: espresso and red bull
Lunch: mcdonald's mcspicy meal 
Dinner: 5 guinnesses, heck maybe even 6 guinnesses","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827985}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735828112}]",,
43,3,242,Conor,2025-01-02 14:27:34,"And we're 3 years deep, there's nothing that we haven't already said, we are literally in this shit together","[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735828067}]",,
44,3,243,Eoin,2025-01-02 14:30:23,3,,,
45,2,255,Soumia,2025-01-02 15:01:35,2,,,
46,2,260,Katie,2025-01-02 15:34:46,2,,,
47,2,266,Emma Sherlock,2025-01-02 16:20:44,2 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735836089}, {'reaction': 'ð\x9f\x91\x8f', 'actor': 'Dex', 'timestamp': 1735834859}]",,
48,4,271,Ros,2025-01-02 17:37:19,4,,,
49,3,276,Sean,2025-01-02 17:50:52,3,,,
50,3,278,Harry,2025-01-02 18:31:24,3,,,
51,4,289,Sean,2025-01-02 19:40:08,4,,,
52,6,292,Clay,2025-01-02 19:46:00,6,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735847179}]",,
53,3,297,Soumia,2025-01-02 20:18:36,3,,,
54,1,303,Georgia,2025-01-03 01:44:42,1,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735888850}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735896482}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735905413}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735895971}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735878009}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735868695}]",,
55,3,309,Emma Smyth,2025-01-03 09:28:31,3,,,
56,4,310,Eoin,2025-01-03 09:35:10,4,,,
57,4,311,Harry,2025-01-03 09:55:10,4,,,
58,4,312,Dex,2025-01-03 10:00:44,4,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735898514}]",,
59,3,314,Emma Sherlock,2025-01-03 10:06:19,3,,,
60,4,315,Shane,2025-01-03 11:41:37,4,,,
61,4,321,Stephen,2025-01-03 12:04:09,4,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735905880}]",,
62,5,350,Harry,2025-01-03 13:09:23,5,,,
63,2,354,Dan,2025-01-03 14:06:17,2,,,
64,3,361,Suzanne,2025-01-03 16:28:14,3,,,
65,7,362,Conan,2025-01-03 16:30:03,7,,,
66,6,444,Niamh,2025-01-03 18:19:53,6,,,
67,2,445,Keelin,2025-01-03 18:56:56,2,,,
68,5,446,Eoin,2025-01-03 18:59:09,5,,,
69,5,453,Stephen,2025-01-03 22:18:52,5,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735944162}]",,
70,7,457,Niamh,2025-01-03 22:44:19,7 âï¸,,,
71,3,474,Katie,2025-01-04 01:56:06,3,,,
72,6,475,Harry,2025-01-04 11:44:37,6,,,
73,3,476,Keelin,2025-01-04 12:32:56,3,,,
74,3,477,Dan,2025-01-04 13:02:56,3,,,
75,5,478,Shane,2025-01-04 14:33:22,4 & 5 forgot to update yesterday!!!!,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736001292}]",,
76,8,479,Conan,2025-01-04 14:35:53,8,,,
77,5,480,Dex,2025-01-04 14:42:52,Birthed 5,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736002266}]",,
78,6,482,Stephen,2025-01-04 15:12:12,6,,,
79,9,486,Conan,2025-01-04 17:46:30,9,,,
80,3,487,Ruby,2025-01-04 17:51:34,3,,,
81,4,488,Soumia,2025-01-04 18:28:48,4 ð¦¨,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Dex', 'timestamp': 1736015342}]",,
82,8,495,Niamh,2025-01-04 19:00:45,8,,,
83,5,508,Sean,2025-01-04 19:31:19,5,,,
84,6,509,Dex,2025-01-04 20:45:28,6,,,
85,4,510,Emma Sherlock,2025-01-04 20:51:49,4,,,
86,6,512,Sean,2025-01-05 00:17:13,6,,,
87,4,513,Conor,2025-01-05 00:22:01,4,,,
88,2,516,Georgia,2025-01-05 10:43:07,2ð«¡ð«¡ð«¡,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736074690}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736080086}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736074877}]",,
89,7,518,Clay,2025-01-05 11:02:18,7,,,
90,6,519,Eoin,2025-01-05 12:27:53,6,,,
91,7,521,Harry,2025-01-05 12:59:54,7,,,
92,5,522,Ros,2025-01-05 13:12:47,5,,,
93,4,524,Keelin,2025-01-05 13:18:12,4,,,
94,4,526,Ruby,2025-01-05 13:33:08,4,,,
95,7,527,Dex,2025-01-05 13:42:24,7,,,
96,6,528,Ros,2025-01-05 14:23:07,6,,,
97,7,530,Eoin,2025-01-05 15:18:52,7,,,
98,8,532,Harry,2025-01-05 15:26:24,8,,,
99,7,533,Shane,2025-01-05 16:32:39,6 and 7!!,,,
100,6,533,Shane,2025-01-05 16:32:39,6 and 7!!,,,
101,7,534,Stephen,2025-01-05 16:47:18,7,,,
102,9,535,Niamh,2025-01-05 17:49:33,9,,,
103,10,536,Conan,2025-01-05 17:53:18,10,,,
104,7,537,Ros,2025-01-05 18:48:31,7,,,
105,4,538,Dan,2025-01-05 18:50:50,4,,,
106,4,554,Suzanne,2025-01-05 23:18:14,4,,,
107,8,556,Dex,2025-01-05 23:42:05,8,,,
108,8,557,Stephen,2025-01-06 00:53:00,8,,,
109,4,559,Katie,2025-01-06 04:14:28,4,,,
110,5,561,Ruby,2025-01-06 04:58:12,5,,,
111,3,562,Georgia,2025-01-06 07:04:19,3ðª,,,
112,8,567,Eoin,2025-01-06 10:58:55,8,,,
113,8,569,Shane,2025-01-06 11:00:14,8 ðð,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736161223}]",,
114,5,572,Dan,2025-01-06 11:43:13,5,,,
115,6,581,Dan,2025-01-06 12:18:47,dan_griffin6 liked a message,,,
116,9,636,Stephen,2025-01-06 13:12:31,9,,,
117,9,638,Harry,2025-01-06 13:30:46,9,,,
118,9,643,Shane,2025-01-06 15:13:07,9!!!,,,
119,10,644,Niamh,2025-01-06 15:13:52,10,,,
120,11,650,Conan,2025-01-06 15:29:23,11,,,
121,8,653,Clay,2025-01-06 15:53:42,8,,,
122,5,654,Katie,2025-01-06 16:02:58,5,,,
123,5,655,Emma Smyth,2025-01-06 16:26:10,5 ð©,,,
124,5,659,Keelin,2025-01-06 19:32:57,5,,,
125,5,660,Emma Sherlock,2025-01-06 20:48:08,5,,,
126,9,661,Dex,2025-01-06 22:32:43,9,,,
127,6,663,Ruby,2025-01-07 08:05:36,6,,,
128,6,664,Katie,2025-01-07 09:44:15,6,,,
129,9,665,Clay,2025-01-07 10:31:13,9,,,
130,10,666,Stephen,2025-01-07 10:42:41,10,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736246567}]",,
