,Message ID,timestamp,content,reactions,share,photos,audio_files,call_duration,videos
0,0,2025-01-01 12:19:33,NEW POOP CHAT,,,,,,
1,1,2025-01-01 12:19:41,You named the group 2025 poop chat.,,,,,,
2,2,2025-01-01 12:20:05,Brothers and sisters pls add anyone that you know that wants to join the chat today,,,,,,
3,3,2025-01-01 12:20:28,I understand some of you have already pooped today pls re-enter them here x,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735734271}]",,,,,
4,6,2025-01-01 12:21:15,Yep thatâs exactly it,,,,,,
5,10,2025-01-01 12:21:50,You added Dan Griffin to the group.,,,,,,
6,16,2025-01-01 12:24:48,You added shane to the group.,,,,,,
7,19,2025-01-01 12:26:43,Yeah congrats condog,,,,,,
8,28,2025-01-01 12:28:07,"Conor pls poo more this year, Iâm worried",,,,,,
9,31,2025-01-01 12:28:47,"Oooooh Iâll keep note of that, remind you at the end of the year","[{'reaction': 'ð\x9f\x98\x8c', 'actor': 'Ruby Long', 'timestamp': 1735734554}]",,,,,
10,39,2025-01-01 12:36:24,"Any form of boosting your score is allowed, the only rule is itâs counted as a separate shit when you get up from the toilet","[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735735132}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735735160}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735735053}]",,,,,
11,47,2025-01-01 12:40:53,I guess on bending rules to their breaking point that would count as another shit,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735735278}]",,,,,
12,53,2025-01-01 13:38:47,You added Sage to the group.,,,,,,
13,61,2025-01-01 14:15:16,You added Sean Condren Kuipers to the group.,,,,,,
14,67,2025-01-01 14:41:03,You added Niamh O'Neill to the group.,,,,,,
15,68,2025-01-01 14:49:26,You added Emma Smyth to the group.,,,,,,
16,70,2025-01-01 14:54:34,How!?! Already,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735743676}]",,,,,
17,86,2025-01-01 15:08:48,You added Emma Sherlock to the group.,,,,,,
