,Message ID,timestamp,content,reactions,share,photos,videos,call_duration
0,64,2025-01-01 14:28:52,1,,,,,
1,65,2025-01-01 14:29:01,Glad to be here guys,,,,,
2,66,2025-01-01 14:29:17,Finally feels like the new year has begun,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735741948}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735741768}]",,,,
3,132,2025-01-01 19:28:19,2,,,,,
4,133,2025-01-01 19:28:26,Daisy chain begins now,,,,,
5,166,2025-01-02 10:56:36,3,,,,,
6,271,2025-01-02 17:37:19,4,,,,,
7,272,2025-01-02 17:37:58,"Iâm now starting to notice one of the problems with having this many people, I have to scroll so much further to find my last update","[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735840804}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735842432}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735840920}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735842020}]",,,,
8,285,2025-01-02 19:01:52,hanleyros liked a message,,,,,
9,286,2025-01-02 19:02:06,"Ahhh pissing on voice note, classic.","[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735844595}]",,,,
10,331,2025-01-03 12:10:43,"Youâre gonna need to step it up for the poopies, we might actually need a dress code now",,,,,
11,336,2025-01-03 12:12:05,"The Shane, the award ceremony","[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1735906343}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735906393}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735906347}]",,,,
12,339,2025-01-03 12:30:54,"She cheated and still lost, so we leave her be and let her own shame take over","[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735911008}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735907644}]",,,,
13,342,2025-01-03 12:33:41,"Thatâs fair, I just like to take pride in my work",,,,,
14,346,2025-01-03 12:34:26,hanleyros liked a message,,,,,
