,Message ID,timestamp,content,reactions,share,photos,audio_files,call_duration,videos
0,62,2025-01-01 14:18:54,I'm sure I did a poop last night,,,,,,
1,63,2025-01-01 14:18:56,1,,,,,,
2,85,2025-01-01 15:08:03,Yes it is,,,,,,
3,144,2025-01-01 23:06:03,Inb4 Conan is revealed to be taking performance enhancing drugs,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735772766}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735773193}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735772880}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735772780}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735772767}]",,,,,
4,213,2025-01-02 13:41:09,2,,,,,,
5,276,2025-01-02 17:50:52,3,,,,,,
6,277,2025-01-02 17:50:56,I'm catching up,,,,,,
7,289,2025-01-02 19:40:08,4,,,,,,
8,290,2025-01-02 19:40:30,condrenkuipers liked a message,,,,,,
9,295,2025-01-02 19:59:27,Then hurry up,,,,,,
10,338,2025-01-03 12:27:15,What happened to soumia circa September?,,,,,,
11,443,2025-01-03 17:37:09,Do bears do?,,,,,,
12,467,2025-01-04 00:40:34,I'll shit on your bed,"[{'reaction': 'â\x9d\x93', 'actor': 'Conor Mcmenamin', 'timestamp': 1735951433}]",,,,,
13,508,2025-01-04 19:31:19,5,,,,,,
14,512,2025-01-05 00:17:13,6,,,,,,
15,633,2025-01-06 13:01:05,"I know for a fact that someone else thinks ill shart, because I'm the first person who thinks that","[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736171897}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736168472}]",,,,,
16,651,2025-01-06 15:49:25,I will wear this on my sleeve,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736183817}]",,,,,
17,652,2025-01-06 15:49:40,And quote Philip Seymour hoffman,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736183818}]",,,,,
