,Poop,IDs,user,timestamp,content,reactions,audio_files,gifs
0,1,14,Ruby,2025-01-01 12:23:06,1,,,
1,2,209,Ruby,2025-01-02 12:55:44,2 âð»,,,
2,3,487,Ruby,2025-01-04 17:51:34,3,,,
3,4,526,Ruby,2025-01-05 13:33:08,4,,,
4,5,561,Ruby,2025-01-06 04:58:12,5,,,
5,6,663,Ruby,2025-01-07 08:05:36,6,,,
6,7,700,Ruby,2025-01-07 15:32:13,"Ok do i did number 7, wiped, and immediately went for round 2, does that count as two separate poops or no?",,,
7,8,729,Ruby,2025-01-07 16:26:03,8!,,,
8,9,800,Ruby,2025-01-08 17:03:09,9,,,
9,10,915,Ruby,2025-01-10 05:40:42,10,,,
10,11,929,Ruby,2025-01-10 12:25:49,11,,,
11,12,982,Ruby,2025-01-10 18:16:36,12,,,
12,13,1215,Ruby,2025-01-13 11:39:07,13,,,
13,14,1247,Ruby,2025-01-13 19:09:53,14,,,
14,15,1320,Ruby,2025-01-15 08:59:27,15,,,
15,16,1344,Ruby,2025-01-16 08:46:19,16,,,
16,17,1433,Ruby,2025-01-17 12:57:52,17 ð,,,
17,18,1470,Ruby,2025-01-18 05:07:43,18,,,
18,19,1495,Ruby,2025-01-18 11:17:46,19,,,
19,20,1559,Ruby,2025-01-20 03:51:29,20,,,
20,21,1663,Ruby,2025-01-21 08:28:47,21,,,
21,22,1679,Ruby,2025-01-21 12:24:30,22,,,
22,23,1767,Ruby,2025-01-23 07:52:42,23,,,
23,24,1838,Ruby,2025-01-24 09:11:37,24,,,
24,25,1876,Ruby,2025-01-25 04:41:38,25,,,
25,26,1950,Ruby,2025-01-26 04:37:52,26,,,
26,27,1976,Ruby,2025-01-26 15:53:13,27 ð¥³,,,
27,28,2001,Ruby,2025-01-27 05:15:23,28,,,
28,29,2075,Ruby,2025-01-28 16:20:26,29,,,
29,30,2120,Ruby,2025-01-29 12:11:35,30,,,
30,31,2373,Ruby,2025-02-01 13:53:20,31 first Irish poo ð®ðª,"[{'reaction': 'ð\x9f\x87®ð\x9f\x87ª', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
31,32,2384,Ruby,2025-02-01 16:22:43,32,,,
32,33,2415,Ruby,2025-02-02 16:50:21,33,,,
33,34,2436,Ruby,2025-02-02 21:10:29,34,,,
34,35,2476,Ruby,2025-02-03 21:57:57,35,,,
35,36,2495,Ruby,2025-02-04 11:14:54,36 dun Laoghaire shopping center,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth'}]",,
36,37,2596,Ruby,2025-02-06 12:53:20,37,,,
37,38,2638,Ruby,2025-02-07 11:54:46,38,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}]",,
38,39,2716,Ruby,2025-02-08 14:15:18,39,,,
39,40,2749,Ruby,2025-02-09 13:28:25,40,,,
40,41,2875,Ruby,2025-02-11 13:26:07,41,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
41,42,2939,Ruby,2025-02-13 00:54:40,42,,,
42,43,2949,Ruby,2025-02-13 12:23:52,43,,,
43,44,2984,Ruby,2025-02-14 11:35:54,44,,,
44,45,2996,Ruby,2025-02-14 12:53:57,45 smelly wine and garlic bread poop,,,
45,46,3074,Ruby,2025-02-16 13:17:55,46,,,
46,47,3112,Ruby,2025-02-17 14:54:35,47,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
47,48,3148,Ruby,2025-02-18 14:23:34,48,,,
48,49,3281,Ruby,2025-02-20 19:13:19,49 pre-shower poo ð,,,
49,50,3327,Ruby,2025-02-22 00:24:55,50! Midnight poo ðð,,,
50,51,3338,Ruby,2025-02-22 14:03:13,51,,,
51,52,3367,Ruby,2025-02-23 13:46:31,52 spicy and sore,,,
52,53,3430,Ruby,2025-02-25 13:19:26,53 DL library,,,
53,54,3506,Ruby,2025-02-26 20:04:42,54,,,
54,55,3761,Ruby,2025-03-01 12:32:49,55 double whammy,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
55,56,3796,Ruby,2025-03-02 13:03:08,56,,,
56,57,3832,Ruby,2025-03-03 12:49:59,57,,,
57,58,3852,Ruby,2025-03-03 18:59:59,58,,,
58,59,3916,Ruby,2025-03-05 12:01:45,"Um sorry to interrupt the domestic but, 59","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
59,60,3975,Ruby,2025-03-06 14:00:19,60,,,
60,61,4023,Ruby,2025-03-07 16:08:02,61,,,
61,62,4060,Ruby,2025-03-08 13:39:30,62,,,
62,63,4103,Ruby,2025-03-09 23:25:37,63,,,
63,64,4155,Ruby,2025-03-10 16:19:14,64 zoo lane,,,
64,65,4203,Ruby,2025-03-12 15:20:19,65 gym poop,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
65,66,4258,Ruby,2025-03-13 15:56:19,66,,,
66,67,4282,Ruby,2025-03-14 17:02:52,67,,,
67,68,4345,Ruby,2025-03-15 20:21:34,68,,,
68,69,4394,Ruby,2025-03-16 14:11:28,69 ð sloppy and long just how I like it,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
69,70,4508,Ruby,2025-03-18 15:25:04,70,,,
70,71,4676,Ruby,2025-03-21 15:12:44,71,,,
71,72,4683,Ruby,2025-03-21 21:07:58,72,,,
72,73,4755,Ruby,2025-03-22 22:29:06,73,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
73,74,4779,Ruby,2025-03-23 15:58:21,74,,,
74,75,4831,Ruby,2025-03-25 00:54:06,75,,,
75,76,4892,Ruby,2025-03-26 14:56:19,76,,,
76,77,4944,Ruby,2025-03-27 17:14:39,77,,,
77,78,4994,Ruby,2025-03-28 13:07:18,78,,,
78,79,5041,Ruby,2025-03-29 16:30:42,79,,,
79,80,5075,Ruby,2025-03-30 21:19:27,80,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]",,
80,81,5119,Ruby,2025-03-31 18:55:48,81,,,
81,82,5121,Ruby,2025-03-31 20:26:49,82,,,
82,83,5254,Ruby,2025-04-01 15:29:41,83,,,
83,84,5293,Ruby,2025-04-02 16:43:59,84 mid house renovation poop,,,
84,85,5400,Ruby,2025-04-04 20:46:57,85,,,
85,86,5443,Ruby,2025-04-05 16:11:45,86,,,
86,87,5449,Ruby,2025-04-05 17:28:33,87,,,
