,Message ID,timestamp,content,reactions,share,photos,audio_files,call_duration,videos
0,104,2025-01-01 16:33:18,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735749203}]",,,,,
1,174,2025-01-02 11:24:59,2,"[{'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735817127}]",,,,,
2,361,2025-01-03 16:28:14,3,,,,,,
3,450,2025-01-03 19:23:37,Suzanneð®ðª sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Sean Condren Kuipers', 'timestamp': 1735933115}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735932463}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735932319}, {'reaction': 'â\x9d¤', 'actor': ""Niamh O'Neill"", 'timestamp': 1735932377}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735932238}, {'reaction': 'ð\x9f\x98\x82', 'actor': 'Keelin H.', 'timestamp': 1735934324}]","{'link': 'https://www.instagram.com/p/DDKD2kSi2_k/', 'share_text': 'Hoping for a 2\n\nFOLLOW @thatstudentpage for more university memes! ð\x9f\x8e\x93\n\nTags\n-\n-\n-\n\n#uk #ukmemes #british #britishmemes #funny #funnymemes #memes #meme #uni #unimemes #university #student #students #studentmemes #college #graduation #studyhacks #freshers #college #lectures #studyhacklibrary #freshers2023', 'original_content_owner': 'thatstudentpage'}",,,,
4,554,2025-01-05 23:18:14,4,,,,,,
5,737,2025-01-07 17:55:22,5,,,,,,
6,832,2025-01-09 00:14:13,6,,,,,,
7,889,2025-01-09 18:25:51,7,,,,,,
8,928,2025-01-10 12:13:44,8,,,,,,
9,1060,2025-01-11 01:46:44,9,,,,,,
10,1097,2025-01-11 20:30:16,10,,,,,,
11,1146,2025-01-12 15:41:32,11,,,,,,
12,1220,2025-01-13 11:58:25,12,,,,,,
13,1279,2025-01-14 10:46:08,13,,,,,,
14,1300,2025-01-14 18:07:37,14,,,,,,
15,1359,2025-01-16 12:53:42,15,,,,,,
16,1398,2025-01-16 23:49:21,Suzanneð®ðª sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1737071890}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1737100877}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1737071489}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1737074689}]","{'link': 'https://www.instagram.com/p/DEdCV1nyohb/', 'share_text': '', 'original_content_owner': 'thecopcomic'}",,,,
17,1463,2025-01-17 23:27:55,16,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1737156494}]",,,,,
18,1545,2025-01-19 18:08:57,17,,,,,,
19,1587,2025-01-20 12:24:48,18,,,,,,
20,1624,2025-01-20 18:13:48,19,,,,,,
21,1857,2025-01-24 12:30:59,20,,,,,,
22,1933,2025-01-25 19:10:21,21,,,,,,
23,2103,2025-01-28 18:39:25,22,,,,,,
24,2113,2025-01-29 06:48:59,23,,,,,,
