,Message ID,timestamp,content,reactions,share,photos,videos,call_duration
0,104,2025-01-01 16:33:18,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735749203}]",,,,
1,174,2025-01-02 11:24:59,2,"[{'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735817127}]",,,,
2,361,2025-01-03 16:28:14,3,,,,,
3,450,2025-01-03 19:23:37,Suzanneð®ðª sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Sean Condren Kuipers', 'timestamp': 1735933115}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735932463}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735932319}, {'reaction': 'â\x9d¤', 'actor': ""Niamh O'Neill"", 'timestamp': 1735932377}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735932238}, {'reaction': 'ð\x9f\x98\x82', 'actor': 'Keelin H.', 'timestamp': 1735934324}]","{'link': 'https://www.instagram.com/p/DDKD2kSi2_k/', 'share_text': 'Hoping for a 2\n\nFOLLOW @thatstudentpage for more university memes! ð\x9f\x8e\x93\n\nTags\n-\n-\n-\n\n#uk #ukmemes #british #britishmemes #funny #funnymemes #memes #meme #uni #unimemes #university #student #students #studentmemes #college #graduation #studyhacks #freshers #college #lectures #studyhacklibrary #freshers2023', 'original_content_owner': 'thatstudentpage'}",,,
4,554,2025-01-05 23:18:14,4,,,,,
5,737,2025-01-07 17:55:22,5,,,,,
6,832,2025-01-09 00:14:13,6,,,,,
7,889,2025-01-09 18:25:51,7,,,,,
8,928,2025-01-10 12:13:44,8,,,,,
9,1060,2025-01-11 01:46:44,9,,,,,
10,1097,2025-01-11 20:30:16,10,,,,,
