,Message ID,timestamp,content,reactions,photos,share,videos,audio_files,gifs,call_duration
0,4,2025-01-01 12:20:42,Iâm on 1,,,,,,,
1,5,2025-01-01 12:21:01,So I just put in the number Iâm on every time I go?,,,,,,,
2,7,2025-01-01 12:21:20,Excellent,,,,,,,
3,8,2025-01-01 12:21:23,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735734087}]",,,,,,
4,29,2025-01-01 12:28:19,,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735736907}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735735120}, {'reaction': 'â\x9d¤', 'actor': 'Teenage dirtbag ð\x9f¤ª', 'timestamp': 1735736125}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735734508}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735734504}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735734507}]","[{'uri': 'your_instagram_activity/messages/inbox/2025poopchat_8986527554771415/photos/467481064_1828933591258273_2045831553333430909_n_1828933587924940.jpg', 'creation_timestamp': 1735734498}]",,,,,
5,32,2025-01-01 12:28:56,My new years res was to quit smoking im gonna be down in numbers,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735735125}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735734546}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735734543}]",,,,,,
6,78,2025-01-01 14:59:58,I think you just have a tiny poop chute,,,,,,,
7,210,2025-01-02 13:05:17,2,,,,,,,
8,278,2025-01-02 18:31:24,3,,,,,,,
9,291,2025-01-02 19:41:29,harry_rooney liked a message,,,,,,,
10,311,2025-01-03 09:55:10,4,,,,,,,
11,350,2025-01-03 13:09:23,5,,,,,,,
12,351,2025-01-03 13:09:36,Coffee is my friend in this game,,,,,,,
13,352,2025-01-03 13:10:46,There really is nothing like shittin on company time,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735910034}]",,,,,,
14,368,2025-01-03 16:32:50,If anyone has IBS they should be disqualified its pretty much like natural steroids for this,,,,,,,
15,370,2025-01-03 16:33:09,Thatâs the only way otherwise I would forget,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735922018}]",,,,,,
16,372,2025-01-03 16:45:04,"Sometimes I be shitting and my mind is elsewhere, full of whimsy, I donât concentrate on the minutes and seconds like Conan",,,,,,,
17,373,2025-01-03 16:45:31,Can we have an award for most scenic poo,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735922749}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735925854}]",,,,,,
18,374,2025-01-03 16:45:38,Like if youâre shitting somewhere fancy,,,,,,,
19,376,2025-01-03 16:45:54,"Take a pic, not including yourself or the toilet, just the view","[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735922790}]",,,,,,
20,378,2025-01-03 16:46:04,harry_rooney liked a message,,,,,,,
21,380,2025-01-03 16:47:32,We all have our vices,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735922854}]",,,,,,
22,381,2025-01-03 16:47:59,"If he wants to put himself through that, I will not compete for first, you can have it Conan",,,,,,,
23,384,2025-01-03 16:48:34,You fibrous fool,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735922916}]",,,,,,
24,386,2025-01-03 16:48:59,Iâm gonna starting eating a full pack of All Bran every morning,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735922941}]",,,,,,
25,387,2025-01-03 16:49:04,With two black coffees,,,,,,,
26,391,2025-01-03 16:49:37,I bet both were cold for efficiencies sake,,,,,,,
27,394,2025-01-03 16:50:31,Because you ate a families worth of vegetables in three days ?,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735923037}]",,,,,,
28,399,2025-01-03 16:51:25,Crystal,,,,,,,
